Model,Perfect Score,Predicted Score,Data Type
Model_NN:2_67-0.12.h5,17.07207,33.16822,TEST
Model_NN:2_67-0.12.h5,17.5339,33.69295,TRN0-50
Model_NN:2_67-0.12.h5,17.477079999999994,31.85638,TRN50-100
Model_NN:2_67-0.12.h5,13.88789,33.16822,TRN100-150
Model_NN:2_67-0.12.h5,18.51875,32.64348,TRN150-200
Model_NN:2_67-0.12.h5,18.14333,32.90585,TRN200-250
Model_NN:2_67-0.12.h5,18.50586,31.06927,TRN250-300
Model_NN:2_67-0.12.h5,13.36621,31.85638,TRN350-400
Model_NN:2_67-0.12.h5,16.11437,32.90585,TRN450-500
Model_NN:2_67-0.12.h5,14.51007,32.64348,TRN500-550
Model_NN:2_67-0.12.h5,10.28945,31.85638,TRN550-600
Model_NN:2_67-0.12.h5,16.37049,32.38111,TRN650-700
Model_NN:2_67-0.12.h5,13.254970000000002,33.43058,TRN700-750
Model_NN:2_67-0.12.h5,10.98013,33.16822,TRN750-800
Model_NN:2_67-0.12.h5,18.06478,30.0198,TRN800-850
Model_NN:2_67-0.12.h5,14.52522,30.54454,TRN850-900
Model_NN:2_67-0.12.h5,15.75412,31.85638,TRN900-950
Model_NN:2_67-0.12.h5,16.08517,32.11874,TRN950-1000
Model_NN:2_67-0.12.h5,17.174329999999998,33.95532,TRN1000-1050
Model_NN:2_67-0.12.h5,11.30804,32.11874,TRN1100-1150
Model_NN:2_67-0.12.h5,10.80938,33.16822,TRN1300-1350
Model_NN:2_67-0.12.h5,6.256576,31.331640000000004,TRN1450-1500
Model_NN:2_67-0.12.h5,8.272253,32.90585,TRN1550-1600
Model_NN:2_67-0.12.h5,7.259183,31.06927,TRN1600-1650
Model_NN:2_67-0.12.h5,3.687377,30.54454,TRN1650-1700
Model_NN:2_67-0.12.h5,8.646174,31.85638,TRN1700-1750
Model_NN:2_67-0.12.h5,4.282795,31.59401,TRN1750-1800
Model_NN:2_67-0.12.h5,10.17403,31.59401,TRN1850-1900
Model_NN:2_67-0.12.h5,10.34137,32.38111,TRN1900-1950
Model_NN:2_67-0.12.h5,12.168,32.90585,TRN1950-2000
Model_NN:2_67-0.12.h5,5.267036,31.06927,TRN2000-2050
Model_NN:2_67-0.12.h5,10.17989,32.11874,TRN2050-2100
Model_NN:2_67-0.12.h5,11.84426,32.11874,TRN2100-2150
Model_NN:2_67-0.12.h5,6.410659,30.80691,TRN2150-2200
Model_NN:2_67-0.12.h5,5.8810970000000005,32.64348,TRN2200-2250
Model_NN:2_67-0.12.h5,7.823614999999998,31.331640000000004,TRN2250-2300
Model_NN:2_67-0.12.h5,5.8745980000000015,31.06927,TRN2300-2350
Model_NN:2_67-0.12.h5,17.02306,32.38111,TRN2450-2500
Model_NN:2_67-0.12.h5,18.95066,33.43058,TRN2500-2550
Model_NN:2_67-0.12.h5,14.4527,32.90585,TRN2600-2650
Model_NN:2_67-0.12.h5,18.55316,33.95532,TRN2650-2700
Model_NN:2_67-0.12.h5,18.40842,32.90585,TRN2700-2750
Model_NN:2_67-0.12.h5,19.17348,31.59401,TRN2750-2800
Model_NN:2_67-0.12.h5,20.26542,31.59401,TRN2800-2850
Model_NN:2_67-0.12.h5,17.53688,31.331640000000004,TRN2850-2900
Model_NN:2_67-0.12.h5,20.50774,33.69295,TRN2900-2950
Model_NN:2_67-0.12.h5,17.47355,33.69295,TRN3000-3050
Model_NN:2_67-0.12.h5,18.72582,32.38111,TRN3100-3150
Model_NN:2_67-0.12.h5,13.02764,32.90585,TRN3200-3250
Model_NN:2_67-0.12.h5,18.73393,30.80691,TRN3300-3350
Model_NN:2_67-0.12.h5,20.04831,32.38111,TRN3350-3400
Model_NN:2_67-0.12.h5,18.91434,32.64348,TRN3400-3450
Model_NN:2_67-0.12.h5,15.88153,31.331640000000004,TRN3450-3500
Model_NN:2_67-0.12.h5,15.91099,33.16822,TRN3500-3550
Model_NN:2_67-0.12.h5,17.86365,32.90585,TRN3600-3650
Model_NN:2_67-0.12.h5,16.61315,32.64348,TRN3650-3700
Model_NN:2_67-0.12.h5,13.56186,33.16822,TRN3800-3850
Model_NN:2_67-0.12.h5,17.008010000000002,31.59401,TRN3850-3900
Model_NN:2_67-0.12.h5,14.533829999999998,32.90585,TRN3900-3950
Model_NN:2_67-0.12.h5,14.95531,31.06927,TRN4000-4050
Model_NN:2_67-0.12.h5,17.50968,34.48005,TRN4100-4150
Model_NN:2_67-0.12.h5,15.28685,32.90585,TRN4200-4250
Model_NN:2_67-0.12.h5,19.730970000000006,32.38111,TRN4250-4300
Model_NN:2_67-0.12.h5,18.17134,31.331640000000004,TRN4300-4350
Model_NN:2_67-0.12.h5,16.34649,32.90585,TRN4350-4400
Model_NN:2_67-0.12.h5,16.65196,31.331640000000004,TRN4400-4450
Model_NN:2_67-0.12.h5,15.29803,32.38111,TRN4500-4550
Model_NN:2_67-0.12.h5,17.26264,31.59401,TRN4550-4600
Model_NN:2_67-0.12.h5,10.29071,33.16822,TRN4650-4700
Model_NN:2_67-0.12.h5,15.87404,32.90585,TRN4700-4750
Model_NN:2_67-0.12.h5,20.05044,32.90585,TRN4750-4800
Model_NN:2_67-0.12.h5,17.50264,32.11874,TRN4800-4850
Model_NN:2_67-0.12.h5,13.07683,32.38111,TRN4850-4900
Model_NN:2_67-0.12.h5,13.25266,33.43058,TRN4900-4950
Model_NN:2_67-0.12.h5,17.07665,32.90585,TRN4950-5000
Model_NN:2_67-0.12.h5,16.15991,33.43058,TRN5000-5050
Model_NN:2_67-0.12.h5,9.877631,33.16822,TRN5050-5100
Model_NN:2_67-0.12.h5,10.42919,32.11874,TRN5100-5150
Model_NN:2_67-0.12.h5,15.58421,33.95532,TRN5150-5200
Model_NN:2_67-0.12.h5,16.90744,33.16822,TRN5200-5250
Model_NN:2_67-0.12.h5,17.01664,32.38111,TRN5250-5300
Model_NN:2_67-0.12.h5,18.74264,32.38111,TRN5300-5350
Model_NN:2_67-0.12.h5,14.71855,32.64348,TRN5350-5400
Model_NN:2_67-0.12.h5,17.08377,32.90585,TRN5400-5450
Model_NN:2_67-0.12.h5,14.87434,32.90585,TRN5450-5500
Model_NN:2_67-0.12.h5,18.93466,31.331640000000004,TRN5550-5600
Model_NN:2_67-0.12.h5,14.19376,32.90585,TRN5600-5650
Model_NN:2_67-0.12.h5,17.76203,33.16822,TRN5650-5700
Model_NN:2_67-0.12.h5,18.71007,31.331640000000004,TRN5700-5750
Model_NN:2_67-0.12.h5,13.22351,32.11874,TRN5750-5800
Model_NN:2_67-0.12.h5,18.78155,32.11874,TRN5850-5900
Model_NN:2_67-0.12.h5,11.3094,30.54454,TRN5900-5950
Model_NN:2_67-0.12.h5,19.75618,31.59401,TRN5950-6000
Model_NN:2_67-0.12.h5,15.80712,31.85638,TRN6000-6050
Model_NN:2_67-0.12.h5,18.56719,34.217690000000005,TRN6100-6150
Model_NN:2_67-0.12.h5,15.85387,34.48005,TRN6150-6200
Model_NN:2_67-0.12.h5,19.95093,33.16822,TRN6250-6300
Model_NN:2_67-0.12.h5,17.16674,32.38111,TRN6300-6350
Model_NN:2_67-0.12.h5,18.53482,32.11874,TRN6350-6400
Model_NN:2_67-0.12.h5,18.39228,33.95532,TRN6400-6450
Model_NN:2_67-0.12.h5,16.1777,32.64348,TRN6450-6500
Model_NN:2_67-0.12.h5,18.8313,32.11874,TRN6500-6550
Model_NN:2_67-0.12.h5,14.92049,33.16822,TRN6600-6650
Model_NN:2_67-0.12.h5,17.3111,32.64348,TRN6650-6700
Model_NN:2_67-0.12.h5,15.72008,33.43058,TRN6850-6900
Model_NN:2_67-0.12.h5,18.81864,32.64348,TRN6900-6950
Model_NN:2_67-0.12.h5,16.00937,33.43058,TRN7050-7100
Model_NN:2_67-0.12.h5,18.34043,32.38111,TRN7100-7150
Model_NN:2_67-0.12.h5,17.50134,32.90585,TRN7150-7200
Model_NN:2_67-0.12.h5,17.203889999999998,32.11874,TRN7200-7250
Model_NN:2_67-0.12.h5,12.48442,32.11874,TRN7250-7300
Model_NN:2_67-0.12.h5,17.5054,33.95532,TRN7300-7350
Model_NN:2_67-0.12.h5,17.08536,33.16822,TRN7350-7400
Model_NN:2_67-0.12.h5,14.73726,31.59401,TRN7500-7550
Model_NN:2_67-0.12.h5,17.849520000000005,32.38111,TRN7550-7600
Model_NN:2_67-0.12.h5,16.1965,31.06927,TRN7600-7650
Model_NN:2_67-0.12.h5,18.65581,32.11874,TRN7650-7700
Model_NN:2_67-0.12.h5,17.78509,33.43058,TRN7700-7750
Model_NN:2_67-0.12.h5,19.39162,32.64348,TRN7750-7800
Model_NN:2_67-0.12.h5,17.47656,33.43058,TRN7800-7850
Model_NN:2_67-0.12.h5,15.91351,32.64348,TRN7850-7900
Model_NN:2_67-0.12.h5,17.39126,30.54454,TRN7950-8000
Model_NN:2_67-0.12.h5,12.82117,30.54454,TRN8000-8050
Model_NN:2_67-0.12.h5,15.76664,31.331640000000004,TRN8050-8100
Model_NN:2_67-0.12.h5,12.70926,32.64348,TRN8100-8150
Model_NN:2_67-0.12.h5,13.01848,32.38111,TRN8250-8300
Model_NN:2_67-0.12.h5,16.66474,33.43058,TRN8300-8350
Model_NN:2_67-0.12.h5,12.97523,32.38111,TRN8350-8400
Model_NN:2_67-0.12.h5,11.80533,32.64348,TRN8450-8500
Model_NN:2_67-0.12.h5,18.62059,32.11874,TRN8500-8550
Model_NN:2_67-0.12.h5,16.98369,34.217690000000005,TRN8550-8600
Model_NN:2_67-0.12.h5,15.04429,31.06927,TRN8600-8650
Model_NN:2_67-0.12.h5,14.24995,32.90585,TRN8700-8750
Model_NN:2_67-0.12.h5,15.5702,31.85638,TRN8750-8800
Model_NN:2_67-0.12.h5,17.30988,33.16822,TRN8800-8850
Model_NN:2_67-0.12.h5,12.00036,34.48005,TRN8850-8900
Model_NN:2_67-0.12.h5,9.010066,32.11874,TRN8950-9000
Model_NN:2_67-0.12.h5,14.51,32.64348,TRN9050-9100
Model_NN:2_67-0.12.h5,10.50056,30.54454,TRN9100-9150
Model_LSTM2_10-0.06.h5,17.34103,33.16822,TEST
Model_LSTM2_10-0.06.h5,18.83395,33.69295,TRN0-50
Model_LSTM2_10-0.06.h5,18.77154,31.85638,TRN50-100
Model_LSTM2_10-0.06.h5,13.64952,33.16822,TRN100-150
Model_LSTM2_10-0.06.h5,19.14669,32.64348,TRN150-200
Model_LSTM2_10-0.06.h5,17.20605,31.06927,TRN250-300
Model_LSTM2_10-0.06.h5,16.95834,32.90585,TRN450-500
Model_LSTM2_10-0.06.h5,17.48304,32.64348,TRN500-550
Model_LSTM2_10-0.06.h5,11.23076,31.85638,TRN550-600
Model_LSTM2_10-0.06.h5,18.81848,32.38111,TRN650-700
Model_LSTM2_10-0.06.h5,13.678120000000002,33.43058,TRN700-750
Model_LSTM2_10-0.06.h5,12.39807,33.16822,TRN750-800
Model_LSTM2_10-0.06.h5,18.8309,30.0198,TRN800-850
Model_LSTM2_10-0.06.h5,13.62113,30.54454,TRN850-900
Model_LSTM2_10-0.06.h5,12.31263,31.85638,TRN900-950
Model_LSTM2_10-0.06.h5,16.376160000000002,32.11874,TRN950-1000
Model_LSTM2_10-0.06.h5,17.41403,33.95532,TRN1000-1050
Model_LSTM2_10-0.06.h5,12.65392,32.11874,TRN1100-1150
Model_LSTM2_10-0.06.h5,13.17212,31.85638,TRN1200-1250
Model_LSTM2_10-0.06.h5,12.08871,31.85638,TRN1250-1300
Model_LSTM2_10-0.06.h5,11.1983,33.16822,TRN1300-1350
Model_LSTM2_10-0.06.h5,6.208157,30.28217,TRN1350-1400
Model_LSTM2_10-0.06.h5,5.751377,31.331640000000004,TRN1450-1500
Model_LSTM2_10-0.06.h5,6.7554690000000015,32.90585,TRN1550-1600
Model_LSTM2_10-0.06.h5,7.103982000000001,31.06927,TRN1600-1650
Model_LSTM2_10-0.06.h5,4.682281,30.54454,TRN1650-1700
Model_LSTM2_10-0.06.h5,9.389094,31.85638,TRN1700-1750
Model_LSTM2_10-0.06.h5,9.469453,31.59401,TRN1850-1900
Model_LSTM2_10-0.06.h5,12.26167,32.38111,TRN1900-1950
Model_LSTM2_10-0.06.h5,8.950167,32.11874,TRN2050-2100
Model_LSTM2_10-0.06.h5,13.40194,32.11874,TRN2100-2150
Model_LSTM2_10-0.06.h5,6.561969,30.80691,TRN2150-2200
Model_LSTM2_10-0.06.h5,8.622802,31.331640000000004,TRN2250-2300
Model_LSTM2_10-0.06.h5,16.83762,32.38111,TRN2450-2500
Model_LSTM2_10-0.06.h5,17.62029,33.43058,TRN2500-2550
Model_LSTM2_10-0.06.h5,16.55775,32.90585,TRN2600-2650
Model_LSTM2_10-0.06.h5,18.82945,33.95532,TRN2650-2700
Model_LSTM2_10-0.06.h5,17.448539999999998,32.90585,TRN2700-2750
Model_LSTM2_10-0.06.h5,18.98977,31.59401,TRN2750-2800
Model_LSTM2_10-0.06.h5,19.07495,31.59401,TRN2800-2850
Model_LSTM2_10-0.06.h5,19.13954,31.331640000000004,TRN2850-2900
Model_LSTM2_10-0.06.h5,18.99706,33.69295,TRN2900-2950
Model_LSTM2_10-0.06.h5,19.93079,33.69295,TRN3000-3050
Model_LSTM2_10-0.06.h5,15.924,32.38111,TRN3100-3150
Model_LSTM2_10-0.06.h5,15.78345,32.90585,TRN3200-3250
Model_LSTM2_10-0.06.h5,18.42948,30.80691,TRN3300-3350
Model_LSTM2_10-0.06.h5,19.02455,32.38111,TRN3350-3400
Model_LSTM2_10-0.06.h5,19.25929,32.64348,TRN3400-3450
Model_LSTM2_10-0.06.h5,15.56061,31.331640000000004,TRN3450-3500
Model_LSTM2_10-0.06.h5,17.78846,32.90585,TRN3600-3650
Model_LSTM2_10-0.06.h5,13.69591,32.64348,TRN3650-3700
Model_LSTM2_10-0.06.h5,18.07115,31.59401,TRN3850-3900
Model_LSTM2_10-0.06.h5,17.28215,31.06927,TRN4000-4050
Model_LSTM2_10-0.06.h5,17.5734,34.48005,TRN4100-4150
Model_LSTM2_10-0.06.h5,16.49633,32.90585,TRN4200-4250
Model_LSTM2_10-0.06.h5,19.80294,32.38111,TRN4250-4300
Model_LSTM2_10-0.06.h5,17.57041,31.331640000000004,TRN4300-4350
Model_LSTM2_10-0.06.h5,18.8388,32.90585,TRN4350-4400
Model_LSTM2_10-0.06.h5,18.66971,31.331640000000004,TRN4400-4450
Model_LSTM2_10-0.06.h5,16.550420000000006,32.38111,TRN4500-4550
Model_LSTM2_10-0.06.h5,16.47748,31.59401,TRN4550-4600
Model_LSTM2_10-0.06.h5,13.74346,33.16822,TRN4650-4700
Model_LSTM2_10-0.06.h5,18.43929,32.90585,TRN4700-4750
Model_LSTM2_10-0.06.h5,20.01114,32.90585,TRN4750-4800
Model_LSTM2_10-0.06.h5,19.0984,32.11874,TRN4800-4850
Model_LSTM2_10-0.06.h5,18.90009,32.38111,TRN4850-4900
Model_LSTM2_10-0.06.h5,17.39803,33.43058,TRN4900-4950
Model_LSTM2_10-0.06.h5,18.41068,32.90585,TRN4950-5000
Model_LSTM2_10-0.06.h5,17.531660000000002,33.43058,TRN5000-5050
Model_LSTM2_10-0.06.h5,10.86777,33.16822,TRN5050-5100
Model_LSTM2_10-0.06.h5,15.38478,32.11874,TRN5100-5150
Model_LSTM2_10-0.06.h5,17.58353,33.16822,TRN5200-5250
Model_LSTM2_10-0.06.h5,16.93415,32.38111,TRN5250-5300
Model_LSTM2_10-0.06.h5,17.51089,32.38111,TRN5300-5350
Model_LSTM2_10-0.06.h5,17.35514,32.64348,TRN5350-5400
Model_LSTM2_10-0.06.h5,18.66927,32.90585,TRN5400-5450
Model_LSTM2_10-0.06.h5,17.51181,32.90585,TRN5450-5500
Model_LSTM2_10-0.06.h5,18.89849,31.331640000000004,TRN5550-5600
Model_LSTM2_10-0.06.h5,13.97585,32.90585,TRN5600-5650
Model_LSTM2_10-0.06.h5,19.91198,33.16822,TRN5650-5700
Model_LSTM2_10-0.06.h5,18.90595,31.331640000000004,TRN5700-5750
Model_LSTM2_10-0.06.h5,17.48956,31.85638,TRN5800-5850
Model_LSTM2_10-0.06.h5,18.72889,32.11874,TRN5850-5900
Model_LSTM2_10-0.06.h5,12.99824,30.54454,TRN5900-5950
Model_LSTM2_10-0.06.h5,19.94768,31.59401,TRN5950-6000
Model_LSTM2_10-0.06.h5,20.29141,31.85638,TRN6000-6050
Model_LSTM2_10-0.06.h5,19.70594,34.217690000000005,TRN6100-6150
Model_LSTM2_10-0.06.h5,16.90408,34.48005,TRN6150-6200
Model_LSTM2_10-0.06.h5,13.54816,32.64348,TRN6200-6250
Model_LSTM2_10-0.06.h5,18.66589,33.16822,TRN6250-6300
Model_LSTM2_10-0.06.h5,17.12088,32.38111,TRN6300-6350
Model_LSTM2_10-0.06.h5,19.0316,33.95532,TRN6400-6450
Model_LSTM2_10-0.06.h5,16.58144,32.64348,TRN6450-6500
Model_LSTM2_10-0.06.h5,20.01986,32.11874,TRN6500-6550
Model_LSTM2_10-0.06.h5,13.30397,30.80691,TRN6750-6800
Model_LSTM2_10-0.06.h5,13.65965,33.43058,TRN6850-6900
Model_LSTM2_10-0.06.h5,19.83603,32.64348,TRN6900-6950
Model_LSTM2_10-0.06.h5,17.31258,33.43058,TRN7050-7100
Model_LSTM2_10-0.06.h5,18.46543,32.38111,TRN7100-7150
Model_LSTM2_10-0.06.h5,17.70121,32.90585,TRN7150-7200
Model_LSTM2_10-0.06.h5,15.96925,32.11874,TRN7200-7250
Model_LSTM2_10-0.06.h5,12.81686,32.11874,TRN7250-7300
Model_LSTM2_10-0.06.h5,19.90948,33.95532,TRN7300-7350
Model_LSTM2_10-0.06.h5,15.634429999999998,31.59401,TRN7500-7550
Model_LSTM2_10-0.06.h5,18.52976,32.38111,TRN7550-7600
Model_LSTM2_10-0.06.h5,17.81788,31.06927,TRN7600-7650
Model_LSTM2_10-0.06.h5,17.475170000000002,32.11874,TRN7650-7700
Model_LSTM2_10-0.06.h5,17.32321,33.43058,TRN7700-7750
Model_LSTM2_10-0.06.h5,18.08295,32.64348,TRN7750-7800
Model_LSTM2_10-0.06.h5,17.58363,33.43058,TRN7800-7850
Model_LSTM2_10-0.06.h5,17.205379999999998,32.64348,TRN7850-7900
Model_LSTM2_10-0.06.h5,15.29675,30.54454,TRN7950-8000
Model_LSTM2_10-0.06.h5,14.533779999999998,30.54454,TRN8000-8050
Model_LSTM2_10-0.06.h5,14.34851,31.331640000000004,TRN8050-8100
Model_LSTM2_10-0.06.h5,12.55436,32.64348,TRN8100-8150
Model_LSTM2_10-0.06.h5,13.33711,32.38111,TRN8250-8300
Model_LSTM2_10-0.06.h5,16.99532,32.38111,TRN8350-8400
Model_LSTM2_10-0.06.h5,17.8684,32.11874,TRN8500-8550
Model_LSTM2_10-0.06.h5,18.36641,34.217690000000005,TRN8550-8600
Model_LSTM2_10-0.06.h5,15.52793,31.06927,TRN8600-8650
Model_LSTM2_10-0.06.h5,11.74689,32.90585,TRN8700-8750
Model_LSTM2_10-0.06.h5,16.22149,31.85638,TRN8750-8800
Model_LSTM2_10-0.06.h5,17.23467,33.16822,TRN8800-8850
Model_LSTM2_10-0.06.h5,14.34842,34.48005,TRN8850-8900
Model_LSTM2_10-0.06.h5,14.100879999999998,33.69295,TRN9000-9050
Model_LSTM2_10-0.06.h5,15.79296,32.64348,TRN9050-9100
Model_LSTM2_10-0.06.h5,13.2532,30.54454,TRN9100-9150
Model_LSTM_00-0.08.h5,15.61657,33.16822,TEST
Model_LSTM_00-0.08.h5,17.891270000000006,33.69295,TRN0-50
Model_LSTM_00-0.08.h5,15.81047,31.85638,TRN50-100
Model_LSTM_00-0.08.h5,14.71155,33.16822,TRN100-150
Model_LSTM_00-0.08.h5,18.69399,32.64348,TRN150-200
Model_LSTM_00-0.08.h5,18.1348,32.90585,TRN200-250
Model_LSTM_00-0.08.h5,17.27281,31.06927,TRN250-300
Model_LSTM_00-0.08.h5,11.02389,31.85638,TRN350-400
Model_LSTM_00-0.08.h5,11.98281,32.64348,TRN400-450
Model_LSTM_00-0.08.h5,14.58442,32.90585,TRN450-500
Model_LSTM_00-0.08.h5,14.00049,32.64348,TRN500-550
Model_LSTM_00-0.08.h5,9.55314,31.85638,TRN550-600
Model_LSTM_00-0.08.h5,17.08485,31.59401,TRN600-650
Model_LSTM_00-0.08.h5,18.65814,32.38111,TRN650-700
Model_LSTM_00-0.08.h5,14.58441,33.43058,TRN700-750
Model_LSTM_00-0.08.h5,8.049433,33.16822,TRN750-800
Model_LSTM_00-0.08.h5,18.40358,30.0198,TRN800-850
Model_LSTM_00-0.08.h5,13.454670000000002,30.54454,TRN850-900
Model_LSTM_00-0.08.h5,13.41607,31.85638,TRN900-950
Model_LSTM_00-0.08.h5,14.3743,32.11874,TRN950-1000
Model_LSTM_00-0.08.h5,16.12032,33.95532,TRN1000-1050
Model_LSTM_00-0.08.h5,11.11453,32.11874,TRN1100-1150
Model_LSTM_00-0.08.h5,16.40315,33.69295,TRN1150-1200
Model_LSTM_00-0.08.h5,13.38367,31.85638,TRN1200-1250
Model_LSTM_00-0.08.h5,10.86106,33.16822,TRN1300-1350
Model_LSTM_00-0.08.h5,4.979139,30.28217,TRN1350-1400
Model_LSTM_00-0.08.h5,5.379341,31.331640000000004,TRN1450-1500
Model_LSTM_00-0.08.h5,6.4439980000000014,32.90585,TRN1550-1600
Model_LSTM_00-0.08.h5,6.9975619999999985,31.06927,TRN1600-1650
Model_LSTM_00-0.08.h5,3.198283,30.54454,TRN1650-1700
Model_LSTM_00-0.08.h5,6.579327,31.85638,TRN1700-1750
Model_LSTM_00-0.08.h5,3.607959,31.59401,TRN1750-1800
Model_LSTM_00-0.08.h5,8.568252000000001,31.06927,TRN1800-1850
Model_LSTM_00-0.08.h5,7.203668,31.59401,TRN1850-1900
Model_LSTM_00-0.08.h5,7.1462210000000015,32.38111,TRN1900-1950
Model_LSTM_00-0.08.h5,4.7986830000000005,31.06927,TRN2000-2050
Model_LSTM_00-0.08.h5,7.973812,32.11874,TRN2050-2100
Model_LSTM_00-0.08.h5,11.8332,32.11874,TRN2100-2150
Model_LSTM_00-0.08.h5,5.225932,30.80691,TRN2150-2200
Model_LSTM_00-0.08.h5,6.7226029999999986,31.331640000000004,TRN2250-2300
Model_LSTM_00-0.08.h5,5.06305,31.06927,TRN2300-2350
Model_LSTM_00-0.08.h5,7.198008,33.69295,TRN2400-2450
Model_LSTM_00-0.08.h5,15.642779999999998,32.38111,TRN2450-2500
Model_LSTM_00-0.08.h5,17.15992,33.43058,TRN2500-2550
Model_LSTM_00-0.08.h5,12.9763,32.90585,TRN2550-2600
Model_LSTM_00-0.08.h5,12.21349,32.90585,TRN2600-2650
Model_LSTM_00-0.08.h5,12.66739,33.95532,TRN2650-2700
Model_LSTM_00-0.08.h5,14.32059,32.90585,TRN2700-2750
Model_LSTM_00-0.08.h5,18.29623,31.59401,TRN2750-2800
Model_LSTM_00-0.08.h5,17.5577,31.59401,TRN2800-2850
Model_LSTM_00-0.08.h5,15.684679999999998,31.331640000000004,TRN2850-2900
Model_LSTM_00-0.08.h5,19.17743,33.69295,TRN2900-2950
Model_LSTM_00-0.08.h5,18.26374,32.38111,TRN2950-3000
Model_LSTM_00-0.08.h5,12.58691,33.69295,TRN3000-3050
Model_LSTM_00-0.08.h5,17.35139,33.95532,TRN3050-3100
Model_LSTM_00-0.08.h5,15.98395,32.38111,TRN3100-3150
Model_LSTM_00-0.08.h5,11.47295,32.90585,TRN3200-3250
Model_LSTM_00-0.08.h5,19.89644,30.80691,TRN3300-3350
Model_LSTM_00-0.08.h5,18.44077,32.38111,TRN3350-3400
Model_LSTM_00-0.08.h5,18.91604,32.64348,TRN3400-3450
Model_LSTM_00-0.08.h5,14.62952,31.331640000000004,TRN3450-3500
Model_LSTM_00-0.08.h5,15.552179999999998,33.16822,TRN3500-3550
Model_LSTM_00-0.08.h5,17.536479999999994,32.90585,TRN3600-3650
Model_LSTM_00-0.08.h5,12.98145,32.64348,TRN3650-3700
Model_LSTM_00-0.08.h5,15.22347,31.85638,TRN3700-3750
Model_LSTM_00-0.08.h5,13.232029999999998,33.16822,TRN3800-3850
Model_LSTM_00-0.08.h5,17.0101,31.59401,TRN3850-3900
Model_LSTM_00-0.08.h5,15.23258,32.90585,TRN3900-3950
Model_LSTM_00-0.08.h5,16.625239999999998,33.16822,TRN3950-4000
Model_LSTM_00-0.08.h5,14.68218,31.06927,TRN4000-4050
Model_LSTM_00-0.08.h5,17.500329999999998,34.48005,TRN4100-4150
Model_LSTM_00-0.08.h5,14.9556,32.90585,TRN4200-4250
Model_LSTM_00-0.08.h5,18.73192,32.38111,TRN4250-4300
Model_LSTM_00-0.08.h5,17.379720000000002,31.331640000000004,TRN4300-4350
Model_LSTM_00-0.08.h5,14.2547,32.90585,TRN4350-4400
Model_LSTM_00-0.08.h5,18.41042,31.331640000000004,TRN4400-4450
Model_LSTM_00-0.08.h5,16.12057,32.38111,TRN4500-4550
Model_LSTM_00-0.08.h5,14.448579999999998,31.59401,TRN4550-4600
Model_LSTM_00-0.08.h5,11.05111,33.16822,TRN4650-4700
Model_LSTM_00-0.08.h5,17.17255,32.90585,TRN4700-4750
Model_LSTM_00-0.08.h5,18.7868,32.90585,TRN4750-4800
Model_LSTM_00-0.08.h5,18.81099,32.11874,TRN4800-4850
Model_LSTM_00-0.08.h5,17.02222,32.38111,TRN4850-4900
Model_LSTM_00-0.08.h5,15.96966,33.43058,TRN4900-4950
Model_LSTM_00-0.08.h5,10.9624,32.90585,TRN4950-5000
Model_LSTM_00-0.08.h5,15.996529999999998,33.43058,TRN5000-5050
Model_LSTM_00-0.08.h5,9.604616,33.16822,TRN5050-5100
Model_LSTM_00-0.08.h5,15.00549,32.11874,TRN5100-5150
Model_LSTM_00-0.08.h5,17.43946,33.95532,TRN5150-5200
Model_LSTM_00-0.08.h5,17.44509,33.16822,TRN5200-5250
Model_LSTM_00-0.08.h5,16.885289999999998,32.38111,TRN5250-5300
Model_LSTM_00-0.08.h5,18.42929,32.38111,TRN5300-5350
Model_LSTM_00-0.08.h5,14.56647,32.64348,TRN5350-5400
Model_LSTM_00-0.08.h5,15.9162,32.90585,TRN5400-5450
Model_LSTM_00-0.08.h5,17.453870000000002,32.90585,TRN5450-5500
Model_LSTM_00-0.08.h5,16.6825,31.331640000000004,TRN5550-5600
Model_LSTM_00-0.08.h5,13.4775,32.90585,TRN5600-5650
Model_LSTM_00-0.08.h5,19.9633,33.16822,TRN5650-5700
Model_LSTM_00-0.08.h5,17.29711,31.331640000000004,TRN5700-5750
Model_LSTM_00-0.08.h5,13.36522,32.11874,TRN5750-5800
Model_LSTM_00-0.08.h5,17.25529,32.11874,TRN5850-5900
Model_LSTM_00-0.08.h5,10.09633,30.54454,TRN5900-5950
Model_LSTM_00-0.08.h5,19.76824,31.59401,TRN5950-6000
Model_LSTM_00-0.08.h5,15.03588,31.85638,TRN6000-6050
Model_LSTM_00-0.08.h5,18.37848,34.217690000000005,TRN6100-6150
Model_LSTM_00-0.08.h5,16.59173,34.48005,TRN6150-6200
Model_LSTM_00-0.08.h5,12.19168,32.64348,TRN6200-6250
Model_LSTM_00-0.08.h5,17.43431,33.16822,TRN6250-6300
Model_LSTM_00-0.08.h5,16.72174,32.38111,TRN6300-6350
Model_LSTM_00-0.08.h5,18.28407,32.11874,TRN6350-6400
Model_LSTM_00-0.08.h5,18.35176,33.95532,TRN6400-6450
Model_LSTM_00-0.08.h5,15.93441,32.64348,TRN6450-6500
Model_LSTM_00-0.08.h5,14.03125,32.11874,TRN6500-6550
Model_LSTM_00-0.08.h5,12.99898,33.16822,TRN6600-6650
Model_LSTM_00-0.08.h5,18.64292,33.95532,TRN6700-6750
